0, 1e-05
1, 1e-05
2, 1e-05
3, 1e-05
4, 1e-05
5, 1e-05
6, 1e-05
7, 1e-05
8, 1e-05
9, 1e-05
10, 1e-05
11, 1e-05
12, 1e-05
13, 1e-05
14, 1e-05
15, 1e-05
16, 1e-05
17, 1e-05
18, 1e-05
19, 1e-05
20, 1e-05
21, 1e-05
22, 1e-05
23, 1e-05
24, 1e-05
25, 1e-05
26, 1e-05
27, 1e-05
28, 1e-05
29, 1e-05
30, 1e-05
31, 1e-05
32, 1e-05
33, 1e-05
34, 1e-05
35, 1e-05
36, 1e-05
37, 1e-05
38, 1e-05
39, 1e-05
40, 1e-05
41, 1e-05
42, 1e-05
43, 1e-05
44, 1e-05
45, 1e-05
46, 1e-05
47, 1e-05
48, 1e-05
49, 1e-05
50, 1e-05
51, 1e-05
52, 1e-05
53, 1e-05
54, 1e-05
55, 1e-05
56, 1e-05
57, 1e-05
58, 1e-05
59, 1e-05
60, 1e-05
61, 1e-05
62, 1e-05
63, 1e-05
64, 1e-05
65, 1e-05
66, 1e-05
67, 1e-05
68, 1e-05
69, 1e-05
70, 1e-05
71, 1e-05
72, 1e-05
73, 1e-05
74, 1e-05
75, 1e-05
76, 1e-05
77, 1e-05
78, 1e-05
79, 1e-05
80, 1e-05
81, 1e-05
82, 1e-05
83, 1e-05
84, 5e-06
85, 5e-06
86, 5e-06
87, 5e-06
88, 5e-06
89, 2.5e-06
90, 2.5e-06
91, 2.5e-06
92, 1.25e-06
93, 1.25e-06
94, 1.25e-06
95, 1.25e-06
96, 1.25e-06
97, 1.25e-06
98, 6.25e-07
99, 6.25e-07
